id,key,type,value
101741827,bridge,regular,yes
101741827,highway,regular,secondary
101741827,layer,regular,1
101741827,name,regular,Bondel Road Flyover
101741831,highway,regular,residential
101741842,highway,regular,residential
101741844,highway,regular,residential
101741844,name,regular,Prince Anwar Shah Lane
101741847,highway,regular,residential
101741848,highway,regular,residential
101741852,highway,regular,tertiary
101741852,maxspeed,regular,40
101741852,name,regular,Jannagar Crematorium Street
101741855,highway,regular,residential
101741858,highway,regular,residential
101741858,name,regular,Ustad Enayet Khan Lane
101741867,highway,regular,residential
101741872,highway,regular,residential
101741874,highway,regular,residential
101741892,highway,regular,residential
101741907,highway,regular,residential
101741924,highway,regular,secondary
101741931,highway,regular,residential
101741937,highway,regular,residential
101741937,name,regular,Garfa 3rd Lane
101741942,highway,regular,residential
101741942,name,regular,Anjuman Ara Begum Row
101741944,highway,regular,secondary
101741947,highway,regular,residential
101741950,highway,regular,residential
101741951,highway,regular,residential
101741956,highway,regular,residential
101741959,highway,regular,residential
101741962,highway,regular,residential
101741969,highway,regular,residential
101741972,highway,regular,residential
101741972,name,regular,Banerjipara Lane
101741974,highway,regular,tertiary
101741977,highway,regular,residential
101741979,highway,regular,residential
101741984,highway,regular,residential
101741985,highway,regular,residential
101741987,highway,regular,residential
101741988,highway,regular,residential
101741989,highway,regular,residential
101741994,highway,regular,tertiary
101741994,name,regular,Selimpur Road
101741998,highway,regular,residential
101742001,bridge,regular,yes
101742001,highway,regular,secondary
101742001,layer,regular,1
101742003,highway,regular,residential
101742007,highway,regular,residential
101742008,highway,regular,secondary
101742016,highway,regular,residential
101742017,highway,regular,residential
101742022,highway,regular,residential
101742026,highway,regular,residential
105874639,highway,regular,secondary
105874639,name,regular,CIT Road (Dr. Sundari Mohan Avenue)
105878011,highway,regular,tertiary
105878011,maxspeed,regular,40
105878011,name,regular,Bijli Road
111524651,landuse,regular,residential
111527658,highway,regular,service
111527662,highway,regular,service
111527665,highway,regular,service
111527670,highway,regular,secondary
111527673,highway,regular,service
111527674,natural,regular,water
111527680,highway,regular,service
111527681,highway,regular,service
111527685,highway,regular,service
111527686,highway,regular,service
111527689,highway,regular,service
111527690,highway,regular,service
111527694,highway,regular,service
111527695,highway,regular,service
111527699,natural,regular,water
111527700,highway,regular,service
111527702,highway,regular,service
111547625,highway,regular,service
111547628,landuse,regular,residential
111547629,highway,regular,service
111547630,highway,regular,tertiary
111547630,name,regular,McLeod Street
111547633,highway,regular,tertiary_link
111547634,highway,regular,service
111547635,highway,regular,residential
111547636,landuse,regular,cemetery
111547636,name,regular,Park St Cemetery
111547637,highway,regular,tertiary_link
111547637,maxspeed,regular,40
111547639,highway,regular,tertiary
111547639,maxspeed,regular,40
111547642,highway,regular,tertiary_link
111547644,highway,regular,residential
111547644,maxspeed,regular,40
111547644,name,regular,Robinson Street
111547645,highway,regular,service
111547645,name,regular,Park Lane
111639729,landuse,regular,residential
111639730,leisure,regular,park
111639730,name,regular,Auckland Square
111639730,note,regular,"Name is from OSM notes, could do with further verification."
111639731,highway,regular,service
111639731,name,regular,Benjamin Moliere Square
111639732,leisure,regular,park
111639732,name,regular,Minto Park
111639734,landuse,regular,residential
111639736,highway,regular,service
111639737,amenity,regular,college
111639737,name,regular,Loreto House School & College
111639739,natural,regular,water
111639741,highway,regular,residential
111639741,maxspeed,regular,40
111639741,name,regular,Dr Harendra Kumar Mukherjee Sarani
111639742,highway,regular,service
111639742,name,regular,Madam Curie Place
111639742,etymology:wikidata,name,Q7186
111639743,highway,regular,service
111639746,highway,regular,residential
111639746,maxspeed,regular,40
111639746,name,regular,Pretoria Street
111639747,landuse,regular,residential
111639749,highway,regular,residential
111639751,highway,regular,residential
111639751,maxspeed,regular,40
111639752,highway,regular,residential
111639752,maxspeed,regular,40
111639752,name,regular,Victoria Tce
111639753,alt_name,regular,Picasso Bithi
111639753,highway,regular,tertiary
111639753,maxspeed,regular,40
111639753,name,regular,Hungerford Street
111639754,highway,regular,service
111639755,highway,regular,service
111639756,highway,regular,residential
111639756,name,regular,Uttam Kumar Sarani
111639756,old_name,regular,Albert Road
111639757,highway,regular,service
111639758,highway,regular,residential
111639758,maxspeed,regular,40
111639759,landuse,regular,residential
111639762,natural,regular,water
111804647,highway,regular,tertiary
111804647,name,regular,Brahmo Samaj Road
111980809,highway,regular,residential
111980809,name,regular,Becharam chatterjee Road
112025081,highway,regular,footway
112025082,leisure,regular,park
112025084,natural,regular,water
112025085,highway,regular,footway
112025086,highway,regular,footway
112025087,highway,regular,secondary
112025087,maxspeed,regular,40
112025087,name,regular,Hospital Road
112025087,oneway,regular,yes
112025088,highway,regular,footway
112025093,highway,regular,service
112025094,natural,regular,water
112025095,natural,regular,water
112025096,highway,regular,unclassified
112025096,maxspeed,regular,40
112025097,amenity,regular,place_of_worship
112025097,building,regular,yes
